Date,Open,High,Low,Close,Volume,ticker
03/10/2023,98.37,98.37,98.36,98.36,0,IDCOT7TR:PSE
02/10/2023,99.18,99.19,99.18,99.19,0,IDCOT7TR:PSE
29/09/2023,100,100,99.99,99.99,0,IDCOT7TR:PSE
28/09/2023,99.94,99.94,99.94,99.94,0,IDCOT7TR:PSE
27/09/2023,99.68,99.69,99.68,99.69,0,IDCOT7TR:PSE
26/09/2023,100.14,100.14,100.14,100.14,0,IDCOT7TR:PSE
25/09/2023,100.19,100.19,100.19,100.19,0,IDCOT7TR:PSE
22/09/2023,100.93,100.94,100.93,100.94,0,IDCOT7TR:PSE
21/09/2023,100.51,100.51,100.51,100.51,0,IDCOT7TR:PSE
20/09/2023,101.29,101.31,101.29,101.31,0,IDCOT7TR:PSE
19/09/2023,101.35,101.36,101.35,101.36,0,IDCOT7TR:PSE
18/09/2023,101.74,101.74,101.74,101.74,0,IDCOT7TR:PSE
15/09/2023,101.62,101.62,101.61,101.61,0,IDCOT7TR:PSE
14/09/2023,101.9,101.92,101.9,101.92,0,IDCOT7TR:PSE
13/09/2023,102.19,102.19,102.18,102.18,0,IDCOT7TR:PSE
12/09/2023,102.05,102.05,102.05,102.05,0,IDCOT7TR:PSE
11/09/2023,101.91,101.91,101.91,101.91,0,IDCOT7TR:PSE
08/09/2023,102.07,102.07,102.07,102.07,0,IDCOT7TR:PSE
07/09/2023,102.06,102.06,102.05,102.05,0,IDCOT7TR:PSE
06/09/2023,101.72,101.72,101.72,101.72,0,IDCOT7TR:PSE
05/09/2023,102.01,102.01,102.01,102.01,0,IDCOT7TR:PSE
01/09/2023,102.59,102.59,102.57,102.58,0,IDCOT7TR:PSE
31/08/2023,103.2,103.21,103.2,103.21,0,IDCOT7TR:PSE
30/08/2023,103.04,103.04,103.04,103.04,0,IDCOT7TR:PSE
29/08/2023,103.04,103.04,103.04,103.04,0,IDCOT7TR:PSE
28/08/2023,102.3,102.3,102.3,102.3,0,IDCOT7TR:PSE
25/08/2023,102.03,102.03,102.02,102.02,0,IDCOT7TR:PSE
24/08/2023,102.03,102.04,102.03,102.04,0,IDCOT7TR:PSE
23/08/2023,102.41,102.42,102.41,102.42,0,IDCOT7TR:PSE
22/08/2023,101.33,101.33,101.33,101.33,0,IDCOT7TR:PSE
21/08/2023,101.29,101.29,101.29,101.29,0,IDCOT7TR:PSE
18/08/2023,101.93,101.93,101.92,101.92,0,IDCOT7TR:PSE
17/08/2023,101.61,101.61,101.61,101.61,0,IDCOT7TR:PSE
16/08/2023,101.74,101.74,101.73,101.73,0,IDCOT7TR:PSE
15/08/2023,102.12,102.12,102.12,102.12,0,IDCOT7TR:PSE
14/08/2023,102.32,102.32,102.31,102.31,0,IDCOT7TR:PSE
11/08/2023,102.46,102.46,102.46,102.46,0,IDCOT7TR:PSE
10/08/2023,102.99,102.99,102.99,102.99,0,IDCOT7TR:PSE
09/08/2023,103.81,103.82,103.81,103.82,0,IDCOT7TR:PSE
08/08/2023,103.73,103.74,103.73,103.74,0,IDCOT7TR:PSE
07/08/2023,103.21,103.21,103.21,103.21,0,IDCOT7TR:PSE
04/08/2023,103.47,103.47,103.46,103.46,0,IDCOT7TR:PSE
03/08/2023,102.35,102.35,102.35,102.35,0,IDCOT7TR:PSE
02/08/2023,103.14,103.15,103.14,103.15,0,IDCOT7TR:PSE
01/08/2023,103.36,103.36,103.36,103.36,0,IDCOT7TR:PSE
31/07/2023,103.97,103.99,103.97,103.99,0,IDCOT7TR:PSE
28/07/2023,103.88,103.88,103.88,103.88,0,IDCOT7TR:PSE
27/07/2023,103.49,103.5,103.49,103.5,0,IDCOT7TR:PSE
26/07/2023,104.62,104.62,104.62,104.62,0,IDCOT7TR:PSE
25/07/2023,104.28,104.28,104.28,104.28,0,IDCOT7TR:PSE
24/07/2023,104.48,104.48,104.48,104.48,0,IDCOT7TR:PSE
21/07/2023,104.72,104.73,104.72,104.73,0,IDCOT7TR:PSE
20/07/2023,104.63,104.63,104.63,104.63,0,IDCOT7TR:PSE
19/07/2023,105.5,105.5,105.49,105.49,0,IDCOT7TR:PSE
18/07/2023,105.1,105.11,105.1,105.11,0,IDCOT7TR:PSE
17/07/2023,105,105,104.99,104.99,0,IDCOT7TR:PSE
14/07/2023,104.83,104.83,104.83,104.83,0,IDCOT7TR:PSE
13/07/2023,105.34,105.34,105.34,105.34,0,IDCOT7TR:PSE
12/07/2023,104.46,104.46,104.46,104.46,0,IDCOT7TR:PSE
11/07/2023,103.46,103.46,103.46,103.46,0,IDCOT7TR:PSE
10/07/2023,103.24,103.24,103.23,103.23,0,IDCOT7TR:PSE
07/07/2023,102.71,102.72,102.71,102.72,0,IDCOT7TR:PSE
06/07/2023,102.8,102.8,102.8,102.8,0,IDCOT7TR:PSE
05/07/2023,103.72,103.72,103.72,103.72,0,IDCOT7TR:PSE
03/07/2023,104.21,104.24,104.21,104.24,0,IDCOT7TR:PSE
30/06/2023,104.62,104.62,104.61,104.61,0,IDCOT7TR:PSE
29/06/2023,104.37,104.37,104.37,104.37,0,IDCOT7TR:PSE
28/06/2023,105.47,105.48,105.47,105.48,0,IDCOT7TR:PSE
27/06/2023,105.07,105.07,105.07,105.07,0,IDCOT7TR:PSE
26/06/2023,105.42,105.43,105.42,105.43,0,IDCOT7TR:PSE
23/06/2023,105.17,105.17,105.17,105.17,0,IDCOT7TR:PSE
22/06/2023,104.75,104.75,104.74,104.74,0,IDCOT7TR:PSE
21/06/2023,105.35,105.35,105.35,105.35,0,IDCOT7TR:PSE
20/06/2023,105.27,105.27,105.27,105.27,0,IDCOT7TR:PSE
16/06/2023,104.93,104.94,104.93,104.94,0,IDCOT7TR:PSE
15/06/2023,105.36,105.37,105.36,105.37,0,IDCOT7TR:PSE
14/06/2023,104.55,104.56,104.55,104.56,0,IDCOT7TR:PSE
13/06/2023,104.42,104.42,104.42,104.42,0,IDCOT7TR:PSE
12/06/2023,105.19,105.19,105.19,105.19,0,IDCOT7TR:PSE
09/06/2023,105.01,105.01,105,105,0,IDCOT7TR:PSE
08/06/2023,105.33,105.33,105.33,105.33,0,IDCOT7TR:PSE
07/06/2023,104.68,104.68,104.68,104.68,0,IDCOT7TR:PSE
06/06/2023,105.47,105.47,105.47,105.47,0,IDCOT7TR:PSE
05/06/2023,105.4,105.4,105.4,105.4,0,IDCOT7TR:PSE
02/06/2023,105.38,105.38,105.38,105.38,0,IDCOT7TR:PSE
01/06/2023,106.22,106.22,106.22,106.22,0,IDCOT7TR:PSE
31/05/2023,105.96,105.96,105.95,105.95,0,IDCOT7TR:PSE
30/05/2023,105.56,105.56,105.56,105.56,0,IDCOT7TR:PSE
26/05/2023,104.55,104.55,104.44,104.44,0,IDCOT7TR:PSE
25/05/2023,104.52,104.52,104.52,104.52,0,IDCOT7TR:PSE
24/05/2023,105.21,105.21,105.2,105.2,0,IDCOT7TR:PSE
23/05/2023,105.49,105.49,105.48,105.48,0,IDCOT7TR:PSE
22/05/2023,105.32,105.33,105.32,105.33,0,IDCOT7TR:PSE
19/05/2023,105.47,105.47,105.47,105.47,0,IDCOT7TR:PSE
18/05/2023,105.86,105.86,105.86,105.86,0,IDCOT7TR:PSE
17/05/2023,106.55,106.55,106.54,106.54,0,IDCOT7TR:PSE
16/05/2023,106.92,106.92,106.92,106.92,0,IDCOT7TR:PSE
15/05/2023,107.23,107.23,107.23,107.23,0,IDCOT7TR:PSE
12/05/2023,107.48,107.48,107.47,107.47,0,IDCOT7TR:PSE
11/05/2023,108.12,108.12,108.1,108.1,0,IDCOT7TR:PSE
